Fz,C3,Cz,C4,Pz,PO7,Oz,PO8
177288.0625,171709.328125,202204.0,200095.59375,158580.8125,157790.71875,152459.5625,167425.921875
177294.765625,171718.453125,202210.96875,200102.921875,158597.171875,157797.875,152482.359375,167448.734375
177311.921875,171737.765625,202227.15625,200115.71875,158606.109375,157826.390625,152529.203125,167480.640625
177340.8125,171758.953125,202247.4375,200141.1875,158614.328125,157853.484375,152530.28125,167481.265625
177370.40625,171793.109375,202273.109375,200166.9375,158648.484375,157877.53125,152558.625,167509.875
177377.734375,171796.234375,202277.125,200165.875,158674.859375,157882.53125,152567.828125,167524.359375
177412.328125,171836.46875,202311.453125,200200.203125,158720.015625,157919.546875,152610.390625,167565.9375
177414.390625,171836.546875,202309.765625,200203.0625,158709.28125,157925.1875,152620.21875,167573.8125
177429.765625,171851.125,202319.328125,200212.984375,158708.03125,157943.15625,152638.109375,167589.0
177451.21875,171872.859375,202337.828125,200231.9375,158734.3125,157963.265625,152656.96875,167610.28125
177460.25,171880.453125,202343.5625,200236.234375,158760.25,157972.125,152659.65625,167614.9375
177460.25,171874.734375,202338.640625,200231.671875,158762.578125,157960.140625,152662.953125,167616.015625
177474.203125,171890.5625,202347.3125,200242.5,158759.359375,157975.96875,152681.28125,167633.890625
177507.640625,171914.0625,202373.953125,200267.53125,158772.3125,158004.484375,152711.6875,167661.34375
177543.140625,171945.359375,202405.96875,200299.0,158811.5625,158034.984375,152746.734375,167695.765625
177552.4375,171953.59375,202413.46875,200304.359375,158844.015625,158044.28125,152762.46875,167715.875
177572.1875,171973.25,202433.140625,200326.171875,158876.296875,158069.21875,152799.9375,167747.34375
177580.234375,171984.96875,202439.046875,200337.625,158871.203125,158082.71875,152806.1875,167750.828125
177580.953125,171991.234375,202437.609375,200333.953125,158854.65625,158084.328125,152779.546875,167731.15625
177592.75,172010.890625,202450.484375,200337.4375,158878.0,158099.96875,152805.46875,167755.03125
177607.0625,172029.9375,202467.828125,200354.875,158919.484375,158123.046875,152830.953125,167782.03125
177618.0625,172041.828125,202477.75,200363.734375,158934.59375,158127.25,152822.375,167776.578125
177632.8125,172059.171875,202489.828125,200376.515625,158931.453125,158138.78125,152829.078125,167781.59375
177649.796875,172063.375,202501.453125,200393.328125,158931.734375,158156.296875,152850.171875,167809.390625
177668.03125,172081.265625,202516.734375,200410.046875,158954.078125,158166.3125,152873.875,167836.9375
177687.078125,172107.1875,202531.84375,200421.21875,158987.609375,158183.65625,152881.109375,167839.171875
177697.1875,172128.015625,202543.03125,200433.828125,159011.390625,158208.78125,152904.71875,167863.046875
177708.265625,172147.59375,202553.9375,200447.765625,159017.203125,158239.890625,152951.390625,167904.53125
177708.71875,172128.921875,202543.296875,200438.734375,158988.953125,158224.609375,152916.25,167868.046875
177722.9375,172139.546875,202552.328125,200449.203125,159004.15625,158235.96875,152917.5,167873.59375
177730.625,172150.375,202559.46875,200461.265625,159039.109375,158246.0625,152943.515625,167901.484375
177746.4375,172172.453125,202573.6875,200474.421875,159061.1875,158261.71875,152955.046875,167917.484375
177757.984375,172186.3125,202583.796875,200487.921875,159056.625,158271.71875,152965.59375,167923.5625
177771.125,172190.515625,202593.0,200499.890625,159054.484375,158286.390625,152985.71875,167943.953125
177781.046875,172200.625,202599.890625,200494.359375,159067.890625,158295.78125,152995.546875,167949.9375
177804.46875,172225.5625,202621.34375,200514.734375,159106.609375,158314.375,153012.8125,167966.03125
177815.46875,172235.046875,202627.328125,200521.984375,159121.890625,158323.578125,153018.265625,167970.59375
177824.59375,172239.515625,202630.734375,200529.046875,159115.640625,158331.09375,153030.6875,167977.84375
177840.59375,172265.265625,202644.328125,200542.90625,159115.375,158344.5,153046.0625,167991.34375
177853.546875,172270.890625,202656.21875,200554.703125,159137.546875,158365.96875,153066.453125,168011.359375
177868.21875,172281.078125,202671.0625,200566.765625,159177.78125,158388.046875,153105.078125,168034.609375
